indicator;sex;measure_type;measurement;minus_3sd;minus_2sd;minus_1sd;median;plus_1sd;plus_2sd;plus_3sd
BB/PB;P;length_cm;81.5;8.1;8.8;9.5;10.4;11.4;12.5;13.8
BB/PB;P;length_cm;82;8.1;8.8;9.6;10.5;11.5;12.6;13.9
BB/PB;P;length_cm;82.5;8.2;8.9;9.7;10.6;11.6;12.8;14.1
BB/PB;P;length_cm;83;8.3;9;9.8;10.7;11.8;12.9;14.2
BB/PB;P;length_cm;83.5;8.4;9.1;9.9;10.9;11.9;13.1;14.4
BB/PB;P;length_cm;84;8.5;9.2;10.1;11;12;13.2;14.5
BB/PB;P;length_cm;84.5;8.6;9.3;10.2;11.1;12.1;13.3;14.7
BB/PB;P;length_cm;85;8.7;9.4;10.3;11.2;12.3;13.5;14.9
BB/PB;P;length_cm;85.5;8.8;9.5;10.4;11.3;12.4;13.6;15
BB/PB;P;length_cm;86;8.9;9.7;10.5;11.5;12.6;13.8;15.2
BB/PB;P;length_cm;86.5;9;9.8;10.6;11.6;12.7;13.9;15.4
BB/PB;P;length_cm;87;9.1;9.9;10.7;11.7;12.8;14.1;15.5
BB/PB;P;length_cm;87.5;9.2;10;10.9;11.8;13;14.2;15.7
BB/PB;P;length_cm;88;9.3;10.1;11;12;13.1;14.4;15.9
BB/PB;P;length_cm;88.5;9.4;10.2;11.1;12.1;13.2;14.5;16
BB/PB;P;length_cm;89;9.5;10.3;11.2;12.2;13.4;14.7;16.2
BB/PB;P;length_cm;89.5;9.6;10.4;11.3;12.3;13.5;14.8;16.4
BB/PB;P;length_cm;90;9.7;10.5;11.4;12.5;13.7;15;16.5
BB/PB;P;length_cm;90.5;9.8;10.6;11.5;12.6;13.8;15.1;16.7
BB/PB;P;length_cm;91;9.9;10.7;11.7;12.7;13.9;15.3;16.9
BB/PB;P;length_cm;91.5;10;10.8;11.8;12.8;14.1;15.5;17
BB/PB;P;length_cm;92;10.1;10.9;11.9;13;14.2;15.6;17.2
BB/PB;P;length_cm;92.5;10.1;11;12;13.1;14.3;15.8;17.4
BB/PB;P;length_cm;93;10.2;11.1;12.1;13.2;14.5;15.9;17.5
BB/PB;P;length_cm;93.5;10.3;11.2;12.2;13.3;14.6;16.1;17.7
BB/PB;P;length_cm;94;10.4;11.3;12.3;13.5;14.7;16.2;17.9
BB/PB;P;length_cm;94.5;10.5;11.4;12.4;13.6;14.9;16.4;18
BB/PB;P;length_cm;95;10.6;11.5;12.6;13.7;15;16.5;18.2
BB/PB;P;length_cm;95.5;10.7;11.6;12.7;13.8;15.2;16.7;18.4
BB/PB;P;length_cm;96;10.8;11.7;12.8;14;15.3;16.8;18.6
BB/PB;P;length_cm;96.5;10.9;11.8;12.9;14.1;15.4;17;18.7
BB/PB;P;length_cm;97;11;12;13;14.2;15.6;17.1;18.9
BB/PB;P;length_cm;97.5;11.1;12.1;13.1;14.4;15.7;17.3;19.1
BB/PB;P;length_cm;98;11.2;12.2;13.3;14.5;15.9;17.5;19.3
BB/PB;P;length_cm;98.5;11.3;12.3;13.4;14.6;16;17.6;19.5
BB/PB;P;length_cm;99;11.4;12.4;13.5;14.8;16.2;17.8;19.6
BB/PB;P;length_cm;99.5;11.5;12.5;13.6;14.9;16.3;18;19.8
BB/PB;P;length_cm;100;11.6;12.6;13.7;15;16.5;18.1;20
BB/PB;P;length_cm;100.5;11.7;12.7;13.9;15.2;16.6;18.3;20.2
